ID,Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Beat,District,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
11033947,JA366947,7/28/17 12:02,070XX S OGLESBY AVE,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,331,3,43,3,1192982,1858869,2017,41.76769972,-87.56818678,"(41.767699718, -87.568186781)"
11033958,JA367048,7/28/17 10:00,034XX S STATE ST,THEFT,FROM BUILDING,"SCHOOL, PRIVATE, BUILDING",FALSE,211,2,35,6,1176835,1882267,2017,41.83228499,-87.62666706,"(41.832284985, -87.62666706)"
11033962,JA367029,7/28/17 10:00,003XX S ARTESIAN AVE,THEFT,$500 AND UNDER,STREET,FALSE,1125,11,28,6,1160020,1898558,2017,41.87735219,-87.68791432,"(41.877352187, -87.687914318)"
11033970,JA367050,7/28/17 12:30,034XX S DR MARTIN LUTHER KING JR DR,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,FALSE,211,2,35,11,1179477,1882142,2017,41.83188193,-87.61697713,"(41.831881927, -87.616977126)"
11033973,JA366604,7/27/17 10:40,049XX S LAKE PARK AVE,THEFT,OVER $500,RESIDENCE,FALSE,222,2,39,6,1187183,1872534,2017,41.80533715,-87.58900875,"(41.80533715, -87.589008745)"
11033974,JA366840,7/28/17 9:00,074XX S CHAPPEL AVE,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,FALSE,333,3,43,6,1191171,1855969,2017,41.7597859,-87.5749185,"(41.759785902, -87.574918502)"
11033982,JA366934,7/28/17 11:40,041XX S MICHIGAN AVE,BATTERY,SIMPLE,CTA BUS,FALSE,213,2,38,08B,1177842,1877688,2017,41.81969705,-87.62311116,"(41.819697049, -87.623111162)"
11033995,JA367096,7/23/17 19:00,051XX S DR MARTIN LUTHER KING JR DR,ASSAULT,SIMPLE,STREET,FALSE,231,2,40,08A,1179795,1871122,2017,41.80163488,-87.61614783,"(41.801634875, -87.616147829)"
11034023,JA367093,7/28/17 13:25,011XX S CANAL ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,124,1,28,6,1173303,1895451,2017,41.86854191,-87.63923536,"(41.868541914, -87.639235361)"
11034027,JA367095,7/27/17 17:00,001XX W JACKSON BLVD,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,COMMERCIAL / BUSINESS OFFICE,FALSE,122,1,32,11,1175230,1898963,2017,41.87813609,-87.63205565,"(41.87813609, -87.632055653)"
11034029,JA367087,7/27/17 17:00,001XX W JACKSON BLVD,THEFT,POCKET-PICKING,COMMERCIAL / BUSINESS OFFICE,FALSE,122,1,32,6,1175230,1898963,2017,41.87813609,-87.63205565,"(41.87813609, -87.632055653)"
11034036,JA367089,7/28/17 13:40,0000X W CERMAK RD,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,TRUE,131,1,33,26,1176415,1889778,2017,41.85290521,-87.62798175,"(41.852905207, -87.627981752)"
11034069,JA367177,7/27/17 20:00,0000X W 35TH PL,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,213,2,35,5,1176496,1881409,2017,41.82993821,-87.62793674,"(41.829938209, -87.627936736)"
11034070,JA367165,7/26/17 19:00,050XX S CHAMPLAIN AVE,THEFT,$500 AND UNDER,APARTMENT,FALSE,223,2,38,6,1181453,1871562,2017,41.80280415,-87.6100538,"(41.802804149, -87.610053795)"
11034081,JA367215,7/28/17 12:00,020XX W SCHILLER ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,1424,14,24,14,1162492,1909425,2017,41.90712074,-87.67853332,"(41.907120741, -87.678533321)"
11034093,JA367211,7/28/17 15:38,012XX N ASHLAND AVE,THEFT,RETAIL THEFT,DRUG STORE,FALSE,1424,14,24,6,1165506,1908134,2017,41.90351448,-87.66749844,"(41.90351448, -87.667498444)"
11034115,JA367216,7/27/17 20:00,020XX W NORTH AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,1424,14,24,7,1162528,1910646,2017,41.9104705,-87.67836683,"(41.910470499, -87.678366829)"
11034127,JA367232,7/28/17 15:17,045XX S WABASH AVE,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,FALSE,215,2,38,15,1177474,1875002,2017,41.81233477,-87.6245424,"(41.812334773, -87.624542402)"
11034129,JA367174,7/28/17 13:40,041XX S LAKE SHORE DR NB,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,214,2,36,6,1184950,1877762,2017,41.81973593,-87.59703408,"(41.819735928, -87.597034079)"
11034130,JA367286,7/22/17 12:00,055XX S EVERETT AVE,THEFT,OVER $500,OTHER,FALSE,235,2,41,6,1188987,1868586,2017,41.79446051,-87.58251899,"(41.794460507, -87.582518993)"
11034132,JA367170,7/28/17 14:45,005XX S MICHIGAN AVE,CRIMINAL TRESPASS,TO LAND,HOTEL/MOTEL,TRUE,123,1,32,26,1177364,1897937,2017,41.87527257,-87.62425131,"(41.875272573, -87.624251314)"
